,cat_id,cat_name,cat_title,cat_description,cat_num_tokens,cat_market_cap,coin_id,coin_name,coin_sym,date_added,platform_name,token_address,is_active
0,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,1027,Ethereum,ETH,2015-08-07T00:00:00.000Z,None,None,1
1,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,825,Tether,USDT,2015-02-25T00:00:00.000Z,Ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1
2,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,1839,BNB,BNB,2017-07-25T00:00:00.000Z,None,None,1
3,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,3408,USD Coin,USDC,2018-10-08T00:00:00.000Z,Ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1
4,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,2010,Cardano,ADA,2017-10-01T00:00:00.000Z,None,None,1
5,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,5805,Avalanche,AVAX,2020-07-13T00:00:00.000Z,None,None,1
6,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,74,Dogecoin,DOGE,2013-12-15T00:00:00.000Z,None,None,1
7,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,6636,Polkadot,DOT,2020-08-19T00:00:00.000Z,None,None,1
8,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,4687,Binance USD,BUSD,2019-09-20T00:00:00.000Z,BNB Beacon Chain (BEP2),BUSD-BD1,1
9,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,7129,TerraUSD,UST,2020-09-21T00:00:00.000Z,None,None,1
10,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,6535,NEAR Protocol,NEAR,2020-08-11T00:00:00.000Z,None,None,1
11,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,3890,Polygon,MATIC,2019-04-28T00:00:00.000Z,None,None,1
12,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,832174743926.3198,4943,Dai,DAI,2019-11-22T00:00:00.000Z,Ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,1
