,cat_id,cat_name,cat_title,cat_description,cat_num_tokens,cat_market_cap,coin_id,coin_name,coin_sym,date_added,platform_name,token_address,is_active
0,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8819,Sad Cat Token,SCAT,2021-03-16T00:00:00.000Z,Ethereum,0x8424c5ac326834b404742de0067bcb654e86be30,0
1,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9857,SaveTheWorld,SAVE,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x159802fbe16aa6a0863a56a18dd41afce546c93e,0
2,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16474,Manarium,ARI,2021-12-27T03:46:29.000Z,BNB Smart Chain (BEP20),0xc80A0A55CAF6a7bfB4Ee22f9380C4077312c4a35,1
3,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10534,Bitfresh,BFT,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0xa4f93159ce0a4b533b443c74b89967c60a5969f8,0
4,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8823,Poodl Token,POODL,2021-03-16T00:00:00.000Z,BNB Smart Chain (BEP20),0x4a68c250486a116dc8d6a0c5b0677de07cc09c5d,1
5,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,9858,EloniumCoin,ELNC,2021-05-17T00:00:00.000Z,BNB Smart Chain (BEP20),0x45b110fcdd1a20fceb1805ec0f7ca6ef3712befc,0
6,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16475,OPPA Token,OPPA,2021-12-27T03:54:46.000Z,BNB Smart Chain (BEP20),0xe3861027f1867f25d9b0313ee633485121ddb40b,1
7,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,10535,EVERERECTED,ERECT,2021-06-21T00:00:00.000Z,BNB Smart Chain (BEP20),0x7fe3cadafb1195d26bb865f94b554b38ae01a87d,0
8,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,8824,ASI.finance,BASI,2021-03-16T00:00:00.000Z,BNB Smart Chain (BEP20),0x8f671544a39b2c0905beac1c1009389d6922305f,0
9,60308028d2088f200c58a005,BNB Chain Ecosystem,Top BNB Chain Tokens by Market Capitalization,BNB Chain dual-chain architecture will empower its users to build their decentralized apps and digital assets on one blockchain and take advantage of the fast trading to exchange on the other.,2007,837284661166.36,16508,Turtle Racing,TURT,2021-12-27T10:32:57.000Z,BNB Smart Chain (BEP20),0xE786d5a4b985bfe5E371F8e94413cFb440f6618a,1
